iter	Passed	Remaining
0	154	154746
1	157	78352
2	161	53608
3	163	40711
4	165	32941
5	167	27787
6	169	24058
7	171	21281
8	175	19275
9	176	17516
10	178	16082
11	180	14897
12	183	13903
13	185	13033
14	188	12403
15	190	11734
16	193	11186
17	195	10688
18	198	10225
19	202	9916
20	204	9553
21	206	9183
22	207	8823
23	208	8496
24	210	8196
25	211	7914
26	212	7654
27	214	7461
28	216	7257
29	217	7047
30	219	6862
31	220	6676
32	221	6502
33	223	6340
34	224	6182
35	225	6038
36	227	5932
37	229	5812
38	230	5688
39	232	5574
40	233	5463
41	234	5356
42	236	5256
43	237	5163
44	238	5066
45	241	5000
46	243	4945
47	245	4873
48	246	4793
49	247	4711
50	248	4633
51	250	4562
52	251	4493
53	252	4425
54	254	4373
55	256	4320
56	257	4263
57	258	4206
58	260	4150
59	261	4093
60	262	4036
61	263	3990
62	264	3940
63	265	3889
64	267	3843
65	269	3807
66	270	3772
67	272	3733
68	273	3692
69	274	3649
70	275	3606
71	276	3564
72	278	3530
73	279	3498
74	280	3460
75	282	3437
76	284	3413
77	286	3382
78	287	3351
79	288	3320
80	289	3288
81	290	3256
82	291	3224
83	293	3198
84	294	3168
85	295	3144
86	298	3132
87	299	3108
88	301	3081
89	302	3056
90	303	3029
91	304	3005
92	305	2982
93	307	2959
94	308	2936
95	309	2912
96	311	2902
97	313	2888
98	314	2866
99	316	2845
100	317	2824
101	318	2803
102	319	2784
103	321	2767
104	322	2749
105	325	2744
106	327	2731
107	329	2720
108	330	2703
109	332	2688
110	333	2671
111	334	2653
112	335	2634
113	336	2616
114	339	2611
115	341	2604
116	343	2588
117	344	2572
118	345	2555
119	346	2541
120	347	2526
121	348	2508
122	349	2492
123	350	2476
124	351	2461
125	355	2463
126	356	2451
127	357	2437
128	359	2426
129	360	2413
130	361	2399
131	362	2386
132	364	2375
133	365	2361
134	367	2351
135	369	2344
136	370	2335
137	371	2323
138	373	2312
139	374	2299
140	375	2287
141	376	2275
142	378	2267
143	379	2257
144	382	2253
145	384	2247
146	385	2236
147	386	2224
148	387	2213
149	388	2201
150	389	2189
151	390	2178
152	391	2167
153	392	2156
154	393	2145
155	395	2138
156	397	2132
157	398	2123
158	399	2114
159	401	2105
160	401	2094
161	402	2084
162	403	2073
163	405	2064
164	406	2056
165	407	2046
166	408	2037
167	410	2033
168	412	2026
169	413	2018
170	414	2009
171	415	2001
172	417	1993
173	418	1985
174	419	1976
175	420	1969
176	422	1962
177	423	1954
178	425	1949
179	426	1943
180	427	1935
181	428	1927
182	429	1919
183	430	1910
184	431	1902
185	432	1894
186	433	1886
187	434	1878
188	436	1872
189	437	1865
190	439	1862
191	441	1857
192	442	1851
193	444	1845
194	445	1838
195	446	1830
196	447	1823
197	448	1816
198	450	1811
199	451	1805
200	452	1800
201	454	1796
202	456	1791
203	457	1785
204	458	1779
205	460	1773
206	461	1766
207	462	1759
208	463	1753
209	464	1747
210	466	1742
211	468	1741
212	470	1737
213	471	1731
214	472	1726
215	473	1719
216	474	1713
217	476	1708
218	478	1704
219	479	1699
220	480	1694
221	483	1694
222	485	1691
223	486	1685
224	487	1679
225	489	1676
226	492	1675
227	493	1670
228	498	1678
229	500	1674
230	501	1669
231	502	1663
232	503	1658
233	505	1654
234	506	1649
235	508	1644
236	509	1639
237	511	1637
238	513	1635
239	514	1630
240	516	1625
241	517	1621
242	519	1617
243	520	1613
244	521	1607
245	522	1602
246	524	1600
247	527	1598
248	528	1594
249	529	1589
250	531	1585
251	532	1580
252	533	1575
253	534	1570
254	535	1565
255	536	1560
256	539	1559
257	541	1556
258	542	1551
259	543	1547
260	545	1543
261	546	1540
262	548	1535
263	549	1531
264	550	1527
265	552	1524
266	554	1522
267	555	1518
268	557	1514
269	558	1509
270	559	1505
271	560	1500
272	561	1496
273	562	1491
274	564	1487
275	566	1484
276	567	1482
277	569	1478
278	570	1474
279	572	1471
280	573	1467
281	574	1462
282	575	1458
283	576	1453
284	579	1452
285	583	1455
286	585	1453
287	586	1449
288	587	1445
289	588	1442
290	590	1437
291	591	1433
292	592	1429
293	593	1425
294	595	1422
295	597	1420
296	599	1419
297	601	1418
298	603	1414
299	604	1410
300	606	1407
301	607	1403
302	608	1399
303	610	1397
304	612	1394
305	613	1391
306	614	1387
307	615	1383
308	616	1379
309	617	1375
310	619	1372
311	621	1370
312	623	1367
313	624	1365
314	626	1363
315	628	1359
316	629	1356
317	630	1352
318	631	1348
319	633	1345
320	634	1342
321	636	1340
322	638	1338
323	640	1336
324	642	1333
325	643	1329
326	644	1325
327	645	1321
328	646	1318
329	647	1315
330	649	1312
331	650	1309
332	653	1308
333	655	1306
334	656	1303
335	657	1299
336	658	1295
337	659	1291
338	661	1290
339	662	1286
340	664	1283
341	666	1282
342	669	1281
343	670	1278
344	671	1274
345	672	1271
346	673	1268
347	675	1265
348	676	1262
349	678	1259
350	679	1256
351	682	1255
352	683	1252
353	684	1249
354	685	1245
355	687	1243
356	689	1241
357	690	1238
358	691	1235
359	693	1232
360	695	1230
361	696	1228
362	702	1231
363	703	1229
364	704	1225
365	706	1223
366	707	1221
367	710	1219
368	711	1216
369	712	1213
370	713	1210
371	715	1207
372	716	1204
373	718	1202
374	719	1198
375	720	1195
376	723	1194
377	725	1193
378	726	1190
379	728	1188
380	729	1185
381	730	1182
382	731	1178
383	732	1175
384	733	1172
385	734	1168
386	735	1165
387	737	1163
388	739	1161
389	740	1158
390	742	1156
391	743	1153
392	744	1150
393	745	1147
394	747	1144
395	748	1141
396	749	1138
397	751	1137
398	753	1135
399	754	1132
400	756	1129
401	757	1127
402	759	1124
403	760	1122
404	762	1120
405	764	1118
406	765	1115
407	766	1112
408	768	1110
409	769	1106
410	770	1103
411	771	1100
412	772	1098
413	773	1095
414	774	1092
415	777	1090
416	778	1088
417	780	1086
418	781	1084
419	783	1081
420	784	1078
421	785	1075
422	787	1073
423	788	1070
424	789	1067
425	791	1066
426	793	1064
427	795	1063
428	797	1061
429	798	1058
430	799	1055
431	801	1053
432	802	1050
433	803	1047
434	804	1044
435	807	1045
436	809	1042
437	810	1040
438	811	1037
439	813	1034
440	814	1032
441	815	1029
442	816	1026
443	817	1023
444	819	1022
445	821	1020
446	823	1018
447	824	1016
448	825	1013
449	826	1010
450	828	1008
451	829	1005
452	830	1003
453	831	1000
454	832	997
455	835	996
456	837	994
457	838	992
458	839	989
459	840	986
460	841	984
461	843	981
462	844	979
463	845	976
464	846	973
465	848	972
466	850	971
467	852	968
468	853	966
469	854	964
470	856	961
471	857	958
472	858	956
473	859	953
474	860	950
475	861	948
476	863	946
477	865	944
478	866	942
479	867	939
480	868	937
481	869	934
482	871	932
483	872	930
484	873	927
485	875	925
486	879	925
487	880	923
488	881	921
489	882	918
490	884	916
491	885	914
492	886	911
493	887	909
494	889	907
495	891	906
496	893	904
497	895	902
498	898	902
499	899	899
500	900	897
501	902	894
502	903	892
503	904	890
504	906	888
505	908	886
506	909	884
507	910	881
508	911	879
509	912	876
510	913	874
511	914	871
512	915	869
513	916	866
514	917	864
515	919	862
516	921	860
517	922	858
518	924	856
519	925	854
520	926	851
521	927	849
522	928	846
523	929	844
524	930	841
525	931	839
526	932	837
527	934	835
528	936	833
529	937	831
530	939	829
531	940	827
532	941	824
533	942	822
534	944	820
535	945	818
536	946	815
537	948	814
538	950	812
539	951	810
540	952	808
541	953	805
542	954	803
543	955	801
544	956	798
545	957	796
546	959	794
547	960	792
548	961	789
549	964	788
550	965	787
551	967	785
552	969	783
553	970	781
554	971	779
555	972	776
556	974	774
557	975	772
558	977	771
559	980	770
560	982	768
561	983	766
562	985	764
563	986	762
564	987	760
565	988	758
566	989	755
567	991	754
568	993	752
569	995	750
570	996	749
571	998	747
572	999	744
573	1000	742
574	1002	740
575	1004	739
576	1008	739
577	1009	737
578	1011	735
579	1012	733
580	1014	731
581	1015	729
582	1017	727
583	1018	725
584	1023	726
585	1025	724
586	1026	722
587	1028	720
588	1031	719
589	1033	717
590	1035	716
591	1038	715
592	1039	713
593	1041	712
594	1043	710
595	1045	708
596	1047	706
597	1049	705
598	1052	704
599	1054	702
600	1055	700
601	1056	698
602	1058	696
603	1060	695
604	1061	692
605	1062	691
606	1064	689
607	1066	687
608	1067	685
